,,Result Mean,Result Lower Bound,Result Upper Bound,Effect Size,Effect Upper Bound,Effect Lower Bound,Effect P Value
"('caveman', 'indep')",confidence,52.28333333333333,45.9,57.54999999999999,0.0,0.0,0.0,
"('caveman', 'indep')",consensus,52.76666666666666,48.6,55.15,0.0,0.0,0.0,
"('caveman', 'indep')",net spoke 5% similarity,-0.17329469372369696,-0.20471260829905522,-0.13117467335522812,0.0,0.0,0.0,
"('caveman', 'indep')",net spoke 95% similarity,0.28511372060506696,0.22460729002039526,0.3156902236850829,0.0,0.0,0.0,
"('caveman', 'indep')",net spoke PC1,0.2010117296708951,0.1570012527911599,0.2291725264593081,0.0,0.0,0.0,
"('caveman', 'indep')",spoke 5% similarity,-0.3421275520417939,-0.4183300132670376,-0.2945254195939342,0.0,0.0,0.0,
"('caveman', 'indep')",spoke 95% similarity,0.8370495484032885,0.8038941188600169,0.900422518413643,0.0,0.0,0.0,
"('caveman', 'indep')",spoke PC1,0.4041076206020604,0.38263531453030303,0.422482497679142,0.0,0.0,0.0,
"('caveman', 'indep')",survey 5% similarity,-0.6125995212179743,-0.7253465880215129,-0.490766294353157,0.0,0.0,0.0,
"('caveman', 'indep')",survey 95% similarity,0.7292515122759126,0.7164796700558566,0.7477891711006218,0.0,0.0,0.0,
"('caveman', 'indep')",survey PC1,0.3682611632925967,0.3048156137662406,0.44028096366019415,0.0,0.0,0.0,
"('caveman', 'inter')",confidence,56.76666666666667,52.35,64.45,4.483333333333337,18.550000000000004,-5.199999999999996,0.596925371971488
"('caveman', 'inter')",consensus,58.333333333333336,51.6,66.3,5.566666666666667,17.699999999999996,-3.549999999999997,0.4711547564969635
"('caveman', 'inter')",net spoke 5% similarity,-0.12170243003462604,-0.1731296300223105,-0.05462963026977008,0.051592263689070904,0.07654504308545804,0.03158297827674475,0.05976685704580824
"('caveman', 'inter')",net spoke 95% similarity,0.38202633061224645,0.29753210155336346,0.4725473827722455,0.09691261000717948,0.24794009275185025,-0.018158122131719467,0.3442244508634047
"('caveman', 'inter')",net spoke PC1,0.2472786296749844,0.2121155564540241,0.31669595368473735,0.04626690000408934,0.11126629514124825,-0.027579898791844443,0.3699675776985524
"('caveman', 'inter')",spoke 5% similarity,-0.3533039874570291,-0.43033148291193535,-0.2886751345948129,-0.01117643541523522,0.07742466840269852,-0.11680425964752544,0.8619808848603525
"('caveman', 'inter')",spoke 95% similarity,0.8931559736117217,0.78304646383437,1.0,0.05610642520843323,0.19610588113998317,-0.11737605457927303,0.6041275014726011
"('caveman', 'inter')",spoke PC1,0.43492965755074836,0.3971251383882726,0.5055997871594159,0.03082203694868792,0.12296447262911286,-0.025357359290869352,0.5751504113330371
"('caveman', 'inter')",survey 5% similarity,-0.5567540401828018,-0.5778600195260939,-0.5391927733342311,0.05584548103517247,0.17213726033343235,-0.0870937251729369,0.5389844354832654
"('caveman', 'inter')",survey 95% similarity,0.7881661348895035,0.6865642866187297,0.8737832934063717,0.058914622613591004,0.1259941223057499,-0.03692140905252961,0.3536386590841192
"('caveman', 'inter')",survey PC1,0.423766388096621,0.3542927676671532,0.48842649738824145,0.05550522480402422,0.12873958493688598,-0.08598819599304108,0.5149587961955356
"('dodec', 'indep')",confidence,48.989999999999995,45.559999999999995,52.64,-2.3999999999999986,,,0.7364148859333715
"('dodec', 'indep')",consensus,49.07000000000001,44.06,54.08,-3.1499999999999986,,,0.6312425012381213
"('dodec', 'indep')",net spoke 5% similarity,-0.06661202293647225,-0.1311760465639226,-0.002047999309021936,0.05762236459760955,,,0.13492200002117233
"('dodec', 'indep')",net spoke 95% similarity,0.11776979752411912,0.07290089645933043,0.16260332347095316,-0.1277665960150634,,,0.030446290637965938
"('dodec', 'indep')",net spoke PC1,0.058261663156541174,0.025598165847845293,0.09431660189809384,-0.13345476339586507,,,0.007683501870925999
"('dodec', 'indep')",spoke 5% similarity,-0.1775636958271103,-0.27648802555231333,-0.06966584843313602,0.14851003744397387,,,0.263095445600804
"('dodec', 'indep')",spoke 95% similarity,0.6988519741677907,0.6474412102282798,0.7581690808797991,-0.1064422564696869,,,0.2517533785220005
"('dodec', 'indep')",spoke PC1,0.29928785465143104,0.25314370439215494,0.3454320049107072,-0.06755374497219933,,,0.10534349963832239
"('dodec', 'indep')",survey 5% similarity,-0.3958190433952732,-0.5051461268956405,-0.2758284821110921,0.19872771088290908,,,0.024223823618303136
"('dodec', 'indep')",survey 95% similarity,0.7110584276458118,0.6395848266118837,0.7603020582234792,-0.04663034034335908,,,0.536669348585264
"('dodec', 'indep')",survey PC1,0.31808908894308036,0.2668003328480617,0.37929919001538204,-0.050674964160116465,,,0.09916414927953296
"('dodec', 'inter')",confidence,53.379999999999995,48.43,58.21,5.516666666666668,,,0.17142474377542402
"('dodec', 'inter')",consensus,53.02,51.510000000000005,54.06,-0.04999999999999716,,,0.962355615699772
"('dodec', 'inter')",net spoke 5% similarity,-0.09708958206838017,-0.1377803197153497,-0.0563988444214106,0.06473821748777032,,,0.05916493302641959
"('dodec', 'inter')",net spoke 95% similarity,0.09673254809335514,0.043987502157357895,0.147078467316141,-0.1998477158382773,,,0.06547321502509149
"('dodec', 'inter')",net spoke PC1,0.07520660300600597,0.05197526405623141,0.09785188914324422,-0.12141548869904517,,,0.059982674819920596
"('dodec', 'inter')",spoke 5% similarity,-0.24550435629208595,-0.3248740420714598,-0.166134670512712,0.12812257362887783,,,0.03992742383958944
"('dodec', 'inter')",spoke 95% similarity,0.646923566763777,0.6181838234619017,0.6838663358386374,-0.18229285843474483,,,0.06547046969541022
"('dodec', 'inter')",spoke PC1,0.26905687940307893,0.25316359419168577,0.28887740924282196,-0.13496832488868152,,,0.038991414389225834
"('dodec', 'inter')",survey 5% similarity,-0.4692433772462426,-0.5404340222389972,-0.39533008698548705,0.1815613310321422,,,0.0666786685851056
"('dodec', 'inter')",survey 95% similarity,0.6839956006183303,0.6476996271008877,0.7218446034930089,-0.01523752720189886,,,0.25065014091686566
"('dodec', 'inter')",survey PC1,0.34238841300318645,0.3022350802243598,0.3842708156541521,-0.004972451918991465,,,0.9430959007690793
